"id_pelanggan","tanggal_transaksi","jumlah"
1,"2024-01-01","47000"
4,"2024-01-01","189000"
9,"2024-01-01","78500"
12,"2024-01-01","80000"
20,"2024-01-01","90000"
25,"2024-01-01","192500"
29,"2024-01-01","60500"
33,"2024-01-01","172500"
39,"2024-01-01","66000"
41,"2024-01-01","112500"
44,"2024-01-01","281500"
46,"2024-01-01","57000"
47,"2024-01-01","106500"
54,"2024-01-01","58000"
56,"2024-01-01","163000"
66,"2024-01-01","165500"
71,"2024-01-01","109500"
72,"2024-01-01","180500"
78,"2024-01-01","96000"
86,"2024-01-01","192500"
89,"2024-01-01","70000"
98,"2024-01-01","133000"
104,"2024-01-01","90000"
107,"2024-01-01","181500"
110,"2024-01-01","95000"
116,"2024-01-01","121500"
117,"2024-01-01","86000"
119,"2024-01-01","70500"
120,"2024-01-01","122000"
123,"2024-01-01","59500"
125,"2024-01-01","73500"
127,"2024-01-01","92500"
134,"2024-01-01","168000"
135,"2024-01-01","90500"
137,"2024-01-01","276000"
138,"2024-01-01","78000"
143,"2024-01-01","180500"
144,"2024-01-01","164000"
149,"2024-01-01","101000"
151,"2024-01-01","76000"
156,"2024-01-01","94000"
165,"2024-01-01","92500"
167,"2024-01-01","102000"
172,"2024-01-01","74500"
174,"2024-01-01","144500"
185,"2024-01-01","78500"
186,"2024-01-01","91000"
191,"2024-01-01","77000"
194,"2024-01-01","93000"
198,"2024-01-01","365500"
206,"2024-01-01","96000"
218,"2024-01-01","74000"
222,"2024-01-01","70500"
224,"2024-01-01","104000"
231,"2024-01-01","98000"
232,"2024-01-01","217500"
233,"2024-01-01","71000"
238,"2024-01-01","96500"
240,"2024-01-01","82000"
242,"2024-01-01","83500"
243,"2024-01-01","104500"
244,"2024-01-01","101500"
248,"2024-01-01","87500"
249,"2024-01-01","97000"
251,"2024-01-01","86500"
253,"2024-01-01","181000"
256,"2024-01-01","100000"
264,"2024-01-01","93500"
268,"2024-01-01","142500"
273,"2024-01-01","76500"
274,"2024-01-01","95000"
275,"2024-01-01","165500"
281,"2024-01-01","67500"
282,"2024-01-01","99500"
288,"2024-01-01","80500"
301,"2024-01-01","100500"
305,"2024-01-01","84000"
307,"2024-01-01","88000"
310,"2024-01-01","170500"
328,"2024-01-01","80000"
335,"2024-01-01","77000"
343,"2024-01-01","90500"
344,"2024-01-01","72000"
345,"2024-01-01","91000"
350,"2024-01-01","74000"
351,"2024-01-01","86500"
356,"2024-01-01","97500"
357,"2024-01-01","75500"
365,"2024-01-01","65500"
369,"2024-01-01","93500"
377,"2024-01-01","76500"
384,"2024-01-01","107000"
385,"2024-01-01","76500"
392,"2024-01-01","189500"
393,"2024-01-01","101500"
395,"2024-01-01","93000"
399,"2024-01-01","88500"
400,"2024-01-01","129000"
401,"2024-01-01","62000"
402,"2024-01-01","108500"
403,"2024-01-01","69000"
413,"2024-01-01","97500"
415,"2024-01-01","78000"
416,"2024-01-01","106000"
417,"2024-01-01","110000"
418,"2024-01-01","92000"
419,"2024-01-01","75000"
422,"2024-01-01","96000"
423,"2024-01-01","70500"
424,"2024-01-01","89000"
426,"2024-01-01","79500"
429,"2024-01-01","71000"
430,"2024-01-01","181000"
434,"2024-01-01","170000"
436,"2024-01-01","85000"
438,"2024-01-01","269500"
444,"2024-01-01","102500"
448,"2024-01-01","90500"
449,"2024-01-01","84000"
451,"2024-01-01","91000"
453,"2024-01-01","68000"
454,"2024-01-01","167000"
458,"2024-01-01","68000"
469,"2024-01-01","91500"
473,"2024-01-01","47000"
480,"2024-01-01","75000"
483,"2024-01-01","57500"
485,"2024-01-01","58000"
488,"2024-01-01","167500"
497,"2024-01-01","64000"
503,"2024-01-01","70000"
507,"2024-01-01","105500"
509,"2024-01-01","190000"
513,"2024-01-01","89500"
521,"2024-01-01","141000"
524,"2024-01-01","88500"
525,"2024-01-01","85000"
528,"2024-01-01","94000"
532,"2024-01-01","163500"
533,"2024-01-01","93000"
538,"2024-01-01","98000"
540,"2024-01-01","76000"
541,"2024-01-01","73500"
542,"2024-01-01","64500"
543,"2024-01-01","91500"
547,"2024-01-01","89000"
548,"2024-01-01","88000"
549,"2024-01-01","63500"
553,"2024-01-01","104500"
555,"2024-01-01","55500"
556,"2024-01-01","85000"
558,"2024-01-01","110500"
560,"2024-01-01","92000"
565,"2024-01-01","78500"
568,"2024-01-01","104000"
574,"2024-01-01","160000"
577,"2024-01-01","91500"
586,"2024-01-01","84000"
588,"2024-01-01","101500"
589,"2024-01-01","72000"
590,"2024-01-01","84500"
595,"2024-01-01","111500"
598,"2024-01-01","90000"
603,"2024-01-01","68000"
609,"2024-01-01","76500"
616,"2024-01-01","76500"
617,"2024-01-01","104000"
622,"2024-01-01","97500"
638,"2024-01-01","92000"
648,"2024-01-01","71500"
650,"2024-01-01","58000"
651,"2024-01-01","85500"
653,"2024-01-01","81500"
656,"2024-01-01","95000"
657,"2024-01-01","97500"
662,"2024-01-01","198000"
668,"2024-01-01","93000"
688,"2024-01-01","81000"
689,"2024-01-01","100000"
692,"2024-01-01","85500"
694,"2024-01-01","196000"
695,"2024-01-01","82000"
697,"2024-01-01","156000"
698,"2024-01-01","183500"
703,"2024-01-01","78000"
706,"2024-01-01","168000"
712,"2024-01-01","86000"
713,"2024-01-01","88500"
718,"2024-01-01","64500"
719,"2024-01-01","83000"
720,"2024-01-01","62000"
723,"2024-01-01","72000"
724,"2024-01-01","161500"
726,"2024-01-01","73500"
731,"2024-01-01","192500"
737,"2024-01-01","311500"
740,"2024-01-01","68000"
741,"2024-01-01","91500"
744,"2024-01-01","88500"
750,"2024-01-01","75000"
752,"2024-01-01","94000"
756,"2024-01-01","77500"
761,"2024-01-01","81000"
772,"2024-01-01","88500"
776,"2024-01-01","87500"
778,"2024-01-01","176000"
779,"2024-01-01","79000"
780,"2024-01-01","108000"
790,"2024-01-01","78500"
795,"2024-01-01","72000"
798,"2024-01-01","76500"
802,"2024-01-01","93500"
804,"2024-01-01","87500"
809,"2024-01-01","111500"
810,"2024-01-01","90500"
816,"2024-01-01","86000"
821,"2024-01-01","61500"
823,"2024-01-01","85500"
824,"2024-01-01","57000"
828,"2024-01-01","84500"
832,"2024-01-01","89500"
833,"2024-01-01","92500"
835,"2024-01-01","87500"
841,"2024-01-01","97500"
843,"2024-01-01","90000"
847,"2024-01-01","80500"
857,"2024-01-01","89000"
858,"2024-01-01","102000"
859,"2024-01-01","83000"
861,"2024-01-01","70000"
866,"2024-01-01","67000"
869,"2024-01-01","204500"
872,"2024-01-01","80000"
877,"2024-01-01","100000"
878,"2024-01-01","72500"
879,"2024-01-01","82000"
881,"2024-01-01","137000"
886,"2024-01-01","91000"
890,"2024-01-01","81000"
899,"2024-01-01","69000"
902,"2024-01-01","106500"
905,"2024-01-01","76500"
907,"2024-01-01","87000"
909,"2024-01-01","101500"
914,"2024-01-01","187500"
921,"2024-01-01","83000"
930,"2024-01-01","70000"
933,"2024-01-01","89000"
937,"2024-01-01","333500"
947,"2024-01-01","80500"
949,"2024-01-01","176500"
952,"2024-01-01","95500"
954,"2024-01-01","198000"
960,"2024-01-01","165000"
961,"2024-01-01","103000"
964,"2024-01-01","93000"
968,"2024-01-01","101500"
972,"2024-01-01","64500"
973,"2024-01-01","61000"
976,"2024-01-01","78000"
985,"2024-01-01","140000"
986,"2024-01-01","69500"
988,"2024-01-01","90000"
989,"2024-01-01","91000"
993,"2024-01-01","90000"
994,"2024-01-01","97500"
1000,"2024-01-01","68000"
1005,"2024-01-01","61000"
1006,"2024-01-01","145000"
1007,"2024-01-01","90000"
1013,"2024-01-01","105500"
1017,"2024-01-01","71000"
1023,"2024-01-01","197000"
1029,"2024-01-01","78500"
1031,"2024-01-01","59500"
1032,"2024-01-01","95000"
1039,"2024-01-01","52500"
1042,"2024-01-01","79500"
1048,"2024-01-01","139000"
1051,"2024-01-01","96500"
1052,"2024-01-01","65000"
1055,"2024-01-01","91500"
1059,"2024-01-01","88000"
1063,"2024-01-01","167500"
1073,"2024-01-01","86500"
1077,"2024-01-01","66500"
1079,"2024-01-01","119500"
1081,"2024-01-01","84000"
1084,"2024-01-01","75500"
1087,"2024-01-01","160000"
1091,"2024-01-01","95000"
1092,"2024-01-01","88500"
1096,"2024-01-01","81500"
1099,"2024-01-01","93000"
1101,"2024-01-01","81000"
1103,"2024-01-01","104500"
1109,"2024-01-01","154500"
1114,"2024-01-01","92500"
1116,"2024-01-01","87500"
1118,"2024-01-01","73500"
1119,"2024-01-01","83500"
1120,"2024-01-01","45000"
1130,"2024-01-01","75000"
1137,"2024-01-01","153500"
1143,"2024-01-01","69500"
1144,"2024-01-01","105500"
1146,"2024-01-01","75000"
1148,"2024-01-01","68000"
1150,"2024-01-01","80500"
1151,"2024-01-01","77500"
1159,"2024-01-01","97500"
1162,"2024-01-01","174500"
1170,"2024-01-01","99000"
1173,"2024-01-01","73500"
1179,"2024-01-01","92000"
1180,"2024-01-01","93000"
1185,"2024-01-01","67500"
1191,"2024-01-01","69500"
1194,"2024-01-01","163500"
1197,"2024-01-01","113500"
1202,"2024-01-01","288000"
1211,"2024-01-01","46000"
1212,"2024-01-01","162000"
1223,"2024-01-01","175500"
1225,"2024-01-01","73000"
1242,"2024-01-01","159000"
1243,"2024-01-01","179000"
1245,"2024-01-01","105500"
1246,"2024-01-01","74500"
1255,"2024-01-01","96000"
1257,"2024-01-01","85500"
1258,"2024-01-01","89500"
1260,"2024-01-01","94000"
1264,"2024-01-01","77000"
1266,"2024-01-01","180000"
1273,"2024-01-01","69500"
1278,"2024-01-01","78000"
1279,"2024-01-01","160500"
1280,"2024-01-01","142500"
1283,"2024-01-01","66000"
1287,"2024-01-01","72000"
1288,"2024-01-01","62500"
1290,"2024-01-01","104500"
1291,"2024-01-01","82000"
1292,"2024-01-01","80000"
1293,"2024-01-01","60000"
1297,"2024-01-01","110500"
1298,"2024-01-01","91500"
1299,"2024-01-01","97500"
1311,"2024-01-01","78000"
1313,"2024-01-01","114000"
1314,"2024-01-01","66000"
1315,"2024-01-01","74000"
1318,"2024-01-01","84000"
1322,"2024-01-01","81000"
1323,"2024-01-01","115000"
1330,"2024-01-01","90500"
1348,"2024-01-01","47000"
1356,"2024-01-01","90500"
1358,"2024-01-01","76000"
1359,"2024-01-01","84000"
1363,"2024-01-01","69000"
1364,"2024-01-01","84000"
1367,"2024-01-01","81500"
1370,"2024-01-01","54000"
1378,"2024-01-01","76500"
1379,"2024-01-01","79500"
1383,"2024-01-01","90000"
1386,"2024-01-01","103500"
1389,"2024-01-01","82000"
1396,"2024-01-01","102500"
1397,"2024-01-01","82000"
1400,"2024-01-01","87000"
1404,"2024-01-01","191500"
1418,"2024-01-01","91500"
1419,"2024-01-01","189000"
1421,"2024-01-01","90000"
1422,"2024-01-01","73500"
1423,"2024-01-01","69000"
1425,"2024-01-01","183000"
1431,"2024-01-01","70000"
2,"2024-01-02","88500"
3,"2024-01-02","78500"
8,"2024-01-02","67000"
11,"2024-01-02","118000"
13,"2024-01-02","83000"
14,"2024-01-02","109500"
18,"2024-01-02","93500"
21,"2024-01-02","95000"
25,"2024-01-02","69000"
28,"2024-01-02","140500"
35,"2024-01-02","246000"
36,"2024-01-02","103000"
47,"2024-01-02","79000"
48,"2024-01-02","117500"
51,"2024-01-02","102000"
60,"2024-01-02","159000"
65,"2024-01-02","85000"
67,"2024-01-02","89000"
70,"2024-01-02","95000"
75,"2024-01-02","75000"
79,"2024-01-02","94000"
81,"2024-01-02","56000"
83,"2024-01-02","96000"
84,"2024-01-02","84500"
87,"2024-01-02","79000"
90,"2024-01-02","87000"
94,"2024-01-02","96000"
97,"2024-01-02","105500"
98,"2024-01-02","104000"
104,"2024-01-02","85500"
113,"2024-01-02","177000"
116,"2024-01-02","84500"
117,"2024-01-02","97500"
118,"2024-01-02","70000"
124,"2024-01-02","207000"
127,"2024-01-02","78000"
132,"2024-01-02","79500"
134,"2024-01-02","73000"
135,"2024-01-02","88500"
137,"2024-01-02","88500"
143,"2024-01-02","104000"
146,"2024-01-02","81500"
148,"2024-01-02","70500"
149,"2024-01-02","80000"
152,"2024-01-02","70500"
154,"2024-01-02","104500"
156,"2024-01-02","70500"
167,"2024-01-02","84000"
171,"2024-01-02","90000"
172,"2024-01-02","95000"
173,"2024-01-02","59000"
176,"2024-01-02","75500"
180,"2024-01-02","70000"
181,"2024-01-02","58000"
184,"2024-01-02","82500"
185,"2024-01-02","98000"
187,"2024-01-02","82500"
188,"2024-01-02","90000"
190,"2024-01-02","72000"
192,"2024-01-02","91000"
193,"2024-01-02","76000"
202,"2024-01-02","99500"
205,"2024-01-02","74500"
207,"2024-01-02","100500"
210,"2024-01-02","104500"
212,"2024-01-02","84500"
217,"2024-01-02","63000"
218,"2024-01-02","92500"
222,"2024-01-02","74000"
223,"2024-01-02","55000"
224,"2024-01-02","70000"
227,"2024-01-02","70000"
228,"2024-01-02","72500"
234,"2024-01-02","70000"
235,"2024-01-02","102000"
237,"2024-01-02","85500"
238,"2024-01-02","168000"
240,"2024-01-02","77000"
248,"2024-01-02","210000"
251,"2024-01-02","72000"
252,"2024-01-02","81000"
253,"2024-01-02","87000"
255,"2024-01-02","77500"
263,"2024-01-02","80000"
268,"2024-01-02","95000"
271,"2024-01-02","203500"
274,"2024-01-02","97500"
276,"2024-01-02","99500"
278,"2024-01-02","75000"
280,"2024-01-02","105000"
283,"2024-01-02","73000"
284,"2024-01-02","92500"
286,"2024-01-02","79000"
287,"2024-01-02","62500"
290,"2024-01-02","76500"
299,"2024-01-02","104000"
300,"2024-01-02","85500"
301,"2024-01-02","117000"
302,"2024-01-02","91000"
304,"2024-01-02","94500"
306,"2024-01-02","184000"
311,"2024-01-02","49000"
312,"2024-01-02","113000"
315,"2024-01-02","92000"
322,"2024-01-02","78000"
325,"2024-01-02","80500"
326,"2024-01-02","101500"
330,"2024-01-02","72500"
331,"2024-01-02","77000"
335,"2024-01-02","93000"
337,"2024-01-02","87000"
339,"2024-01-02","93000"
340,"2024-01-02","74000"
346,"2024-01-02","106000"
349,"2024-01-02","91000"
356,"2024-01-02","101500"
364,"2024-01-02","117000"
368,"2024-01-02","94000"
372,"2024-01-02","152000"
375,"2024-01-02","88500"
381,"2024-01-02","106500"
382,"2024-01-02","192000"
392,"2024-01-02","78500"
393,"2024-01-02","86000"
395,"2024-01-02","163000"
396,"2024-01-02","122000"
397,"2024-01-02","75500"
398,"2024-01-02","83000"
402,"2024-01-02","90000"
403,"2024-01-02","88000"
408,"2024-01-02","84500"
422,"2024-01-02","89000"
425,"2024-01-02","101500"
431,"2024-01-02","111000"
433,"2024-01-02","63500"
436,"2024-01-02","91000"
438,"2024-01-02","80500"
439,"2024-01-02","66000"
443,"2024-01-02","82500"
447,"2024-01-02","86000"
449,"2024-01-02","91000"
454,"2024-01-02","70000"
458,"2024-01-02","113500"
459,"2024-01-02","82500"
461,"2024-01-02","62000"
465,"2024-01-02","100000"
469,"2024-01-02","72500"
470,"2024-01-02","93500"
471,"2024-01-02","166000"
477,"2024-01-02","259500"
482,"2024-01-02","108000"
487,"2024-01-02","79000"
488,"2024-01-02","91000"
489,"2024-01-02","87000"
491,"2024-01-02","240000"
499,"2024-01-02","176000"
502,"2024-01-02","106500"
507,"2024-01-02","108500"
509,"2024-01-02","181500"
511,"2024-01-02","85000"
512,"2024-01-02","75500"
521,"2024-01-02","91000"
522,"2024-01-02","97000"
523,"2024-01-02","49500"
525,"2024-01-02","93500"
539,"2024-01-02","85000"
540,"2024-01-02","98000"
543,"2024-01-02","192500"
544,"2024-01-02","79000"
549,"2024-01-02","172500"
550,"2024-01-02","173000"
553,"2024-01-02","103500"
555,"2024-01-02","134500"
558,"2024-01-02","183000"
559,"2024-01-02","66000"
560,"2024-01-02","81000"
561,"2024-01-02","95500"
562,"2024-01-02","72500"
567,"2024-01-02","166500"
577,"2024-01-02","95500"
581,"2024-01-02","87000"
583,"2024-01-02","181500"
589,"2024-01-02","152500"
591,"2024-01-02","89500"
592,"2024-01-02","107500"
593,"2024-01-02","103000"
609,"2024-01-02","75500"
612,"2024-01-02","151500"
623,"2024-01-02","140000"
626,"2024-01-02","161000"
634,"2024-01-02","89500"
638,"2024-01-02","71000"
641,"2024-01-02","153500"
646,"2024-01-02","77500"
648,"2024-01-02","86500"
651,"2024-01-02","96000"
654,"2024-01-02","84500"
656,"2024-01-02","79000"
657,"2024-01-02","75500"
659,"2024-01-02","241000"
661,"2024-01-02","180500"
663,"2024-01-02","110500"
667,"2024-01-02","63000"
669,"2024-01-02","79500"
672,"2024-01-02","76000"
679,"2024-01-02","63500"
680,"2024-01-02","79000"
683,"2024-01-02","118000"
688,"2024-01-02","76000"
689,"2024-01-02","74000"
698,"2024-01-02","85500"
699,"2024-01-02","75500"
706,"2024-01-02","90000"
707,"2024-01-02","84000"
712,"2024-01-02","129000"
714,"2024-01-02","90000"
718,"2024-01-02","95000"
721,"2024-01-02","72000"
723,"2024-01-02","180000"
728,"2024-01-02","180500"
729,"2024-01-02","88500"
731,"2024-01-02","81500"
735,"2024-01-02","109500"
737,"2024-01-02","169000"
741,"2024-01-02","85500"
747,"2024-01-02","174000"
748,"2024-01-02","93000"
752,"2024-01-02","100500"
754,"2024-01-02","67500"
755,"2024-01-02","80000"
756,"2024-01-02","154500"
764,"2024-01-02","86500"
767,"2024-01-02","81000"
769,"2024-01-02","76000"
770,"2024-01-02","70000"
772,"2024-01-02","172000"
778,"2024-01-02","150500"
779,"2024-01-02","96000"
781,"2024-01-02","80000"
785,"2024-01-02","101000"
789,"2024-01-02","81500"
790,"2024-01-02","43500"
797,"2024-01-02","90000"
800,"2024-01-02","70500"
803,"2024-01-02","89500"
806,"2024-01-02","92000"
810,"2024-01-02","92000"
812,"2024-01-02","102000"
821,"2024-01-02","77500"
822,"2024-01-02","49500"
825,"2024-01-02","76500"
826,"2024-01-02","114000"
832,"2024-01-02","84000"
835,"2024-01-02","168500"
837,"2024-01-02","85000"
838,"2024-01-02","96500"
840,"2024-01-02","198000"
843,"2024-01-02","85500"
846,"2024-01-02","85000"
849,"2024-01-02","107000"
853,"2024-01-02","99000"
856,"2024-01-02","67500"
860,"2024-01-02","94000"
861,"2024-01-02","163000"
862,"2024-01-02","67000"
863,"2024-01-02","59500"
864,"2024-01-02","157000"
869,"2024-01-02","197500"
871,"2024-01-02","72500"
874,"2024-01-02","70500"
879,"2024-01-02","73500"
880,"2024-01-02","167000"
884,"2024-01-02","187000"
891,"2024-01-02","68000"
893,"2024-01-02","97500"
902,"2024-01-02","100000"
904,"2024-01-02","78000"
907,"2024-01-02","79500"
909,"2024-01-02","97000"
911,"2024-01-02","81000"
913,"2024-01-02","56500"
914,"2024-01-02","96000"
917,"2024-01-02","113500"
921,"2024-01-02","76500"
931,"2024-01-02","232500"
935,"2024-01-02","62500"
940,"2024-01-02","158000"
942,"2024-01-02","81500"
943,"2024-01-02","65500"
945,"2024-01-02","87000"
949,"2024-01-02","96000"
954,"2024-01-02","49500"
959,"2024-01-02","165000"
960,"2024-01-02","109000"
961,"2024-01-02","102500"
962,"2024-01-02","64000"
963,"2024-01-02","69000"
964,"2024-01-02","80000"
965,"2024-01-02","73000"
968,"2024-01-02","84500"
974,"2024-01-02","84500"
978,"2024-01-02","110000"
985,"2024-01-02","90500"
990,"2024-01-02","135500"
993,"2024-01-02","151000"
1000,"2024-01-02","105000"
1002,"2024-01-02","79000"
1006,"2024-01-02","69000"
1013,"2024-01-02","72000"
1014,"2024-01-02","71500"
1015,"2024-01-02","87500"
1017,"2024-01-02","217500"
