customer_id,transaction_date,city,customer_type,purchase
7,2023-09-23,Jakarta,member,193
22,2023-05-05,Jakarta,member,160
31,2023-10-05,Tangerang,member,194
50,2023-10-12,Jakarta,member,171
13,2023-08-15,Bekasi,member,177
13,2023-08-11,Bekasi,member,170
37,2023-07-27,Bogor,member,184
17,2023-04-15,Bogor,member,184
37,2023-10-16,Bogor,member,172
13,2023-01-22,Bekasi,member,185
13,2023-08-11,Bekasi,member,204
49,2023-11-07,Tangerang,member,146
49,2023-01-18,Tangerang,member,178
4,2023-01-25,Bekasi,member,223
39,2023-11-12,Tangerang,member,169
2,2023-10-30,Jakarta,member,180
9,2023-06-07,Jakarta,member,189
29,2023-01-04,Tangerang,member,179
49,2023-11-05,Tangerang,member,146
29,2023-01-07,Tangerang,member,154
49,2023-06-28,Tangerang,member,150
12,2023-01-30,Jakarta,member,148
29,2023-10-20,Tangerang,member,172
7,2023-10-27,Jakarta,member,175
45,2023-04-27,Depok,member,206
45,2023-05-18,Depok,member,199
50,2023-10-27,Jakarta,member,166
49,2023-03-15,Tangerang,member,211
13,2023-03-21,Bekasi,member,154
34,2023-09-02,Jakarta,member,192
12,2023-11-03,Jakarta,member,164
45,2023-01-02,Depok,member,165
34,2023-05-27,Jakarta,member,175
39,2023-01-03,Tangerang,member,170
29,2023-12-30,Tangerang,member,185
12,2023-07-02,Jakarta,member,202
29,2023-10-31,Tangerang,member,177
20,2023-02-24,Bogor,member,192
48,2023-02-09,Bogor,member,163
49,2023-04-01,Tangerang,member,160
7,2023-10-23,Jakarta,member,162
20,2023-03-28,Bogor,member,192
2,2023-01-18,Jakarta,member,187
16,2023-06-15,Jakarta,member,182
17,2023-12-04,Bogor,member,172
12,2023-01-06,Jakarta,member,192
37,2023-10-03,Bogor,member,177
39,2023-06-30,Tangerang,member,196
17,2023-01-08,Bogor,member,163
50,2023-02-09,Jakarta,member,161
7,2023-05-17,Jakarta,member,179
16,2023-07-26,Jakarta,member,169
16,2023-05-12,Jakarta,member,174
18,2023-11-15,Bekasi,member,226
39,2023-01-19,Tangerang,member,175
40,2023-03-04,Tangerang,member,164
22,2023-07-27,Jakarta,member,160
12,2023-12-29,Jakarta,member,198
50,2023-03-10,Jakarta,member,171
39,2023-10-01,Tangerang,member,161
17,2023-12-04,Bogor,member,195
13,2023-12-09,Bekasi,member,192
17,2023-04-09,Bogor,member,182
12,2023-12-02,Jakarta,member,141
17,2023-08-20,Bogor,member,196
13,2023-12-13,Bekasi,member,190
18,2023-10-25,Bekasi,member,181
37,2023-06-06,Bogor,member,207
7,2023-05-11,Jakarta,member,196
9,2023-05-23,Jakarta,member,204
9,2023-02-08,Jakarta,member,163
93,2023-08-13,Tangerang,member,172
60,2023-12-14,Depok,member,171
93,2023-10-21,Tangerang,member,175
71,2023-12-06,Jakarta,member,163
52,2023-02-11,Jakarta,member,191
63,2023-12-12,Jakarta,member,175
87,2023-05-18,Bogor,member,162
52,2023-03-26,Jakarta,member,148
62,2023-07-10,Jakarta,member,148
72,2023-11-01,Bekasi,member,178
87,2023-10-20,Bogor,member,162
98,2023-12-23,Tangerang,member,150
56,2023-05-18,Jakarta,member,177
52,2023-02-09,Jakarta,member,168
98,2023-09-22,Tangerang,member,176
93,2023-11-07,Tangerang,member,199
98,2023-10-01,Tangerang,member,191
87,2023-03-18,Bogor,member,189
74,2023-10-02,Jakarta,member,200
93,2023-12-29,Tangerang,member,180
87,2023-02-14,Bogor,member,162
72,2023-03-22,Bekasi,member,175
53,2023-11-24,Jakarta,member,130
58,2023-08-07,Tangerang,member,167
52,2023-11-08,Jakarta,member,178
71,2023-11-20,Jakarta,member,176
